date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:31	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2018%20Dec%202020%2004:51:32%20GMT	https://bslthemes.com/robots.txt		(from )
11:51:32	33075/33075	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Dec%202020%2004:51:32%20GMT	https://bslthemes.com/arter-wp/v2/	G:/CV/CV_2/bslthemes.com/arter-wp/v2/index.html	(from )
11:51:32	936/936	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Dec%202020%2002:16:19%20GMT	https://bslthemes.com/arter-wp/v2/wp-content/cache/autoptimize/css/autoptimize_single_f40beeb30c48cb63c056c108320ebc67.css?ver=1607047702	G:/CV/CV_2/bslthemes.com/arter-wp/v2/wp-content/cache/autoptimize/css/autoptimize_single_f40beeb30c48cb63c056c108320ebc673f9d.css	(from https://bslthemes.com/arter-wp/v2/)
11:51:34	96873/96873	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20May%202019%2004:25:54%20GMT	https://bslthemes.com/arter-wp/v2/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	G:/CV/CV_2/bslthemes.com/arter-wp/v2/wp-includes/js/jquery/jquery4a5f.js	(from https://bslthemes.com/arter-wp/v2/)
11:51:34	1724/1724	---MC-	200	added ('OK')	application/rss+xml	etag:%2292b64de1f9076674c8a881e7d34e89ec%22	https://bslthemes.com/arter-wp/v2/comments/feed/	G:/CV/CV_2/bslthemes.com/arter-wp/v2/comments/feed/index.html	(from https://bslthemes.com/arter-wp/v2/)
11:51:35	32485/32485	---MC-	200	added ('OK')	application/rss+xml	etag:%223c8d0f29e92a817e7d993a357e736597%22	https://bslthemes.com/arter-wp/v2/feed/	G:/CV/CV_2/bslthemes.com/arter-wp/v2/feed/index.html	(from https://bslthemes.com/arter-wp/v2/)
11:51:35	520823/520823	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Dec%202020%2002:43:53%20GMT	https://bslthemes.com/arter-wp/v2/wp-content/cache/autoptimize/css/autoptimize_d06acdcfa2051528dec7e5d0f2069765.css	G:/CV/CV_2/bslthemes.com/arter-wp/v2/wp-content/cache/autoptimize/css/autoptimize_d06acdcfa2051528dec7e5d0f2069765.css	(from https://bslthemes.com/arter-wp/v2/)
11:51:36	42820/42820	---MC-	200	added ('OK')	application/json	date:Fri,%2018%20Dec%202020%2004:51:36%20GMT	https://bslthemes.com/arter-wp/v2/wp-json/wp/v2/pages/13	G:/CV/CV_2/bslthemes.com/arter-wp/v2/wp-json/wp/v2/pages/13.json	(from https://bslthemes.com/arter-wp/v2/)
11:51:36	94819/94819	---MC-	200	added ('OK')	application/json	date:Fri,%2018%20Dec%202020%2004:51:36%20GMT	https://bslthemes.com/arter-wp/v2/wp-json/	G:/CV/CV_2/bslthemes.com/arter-wp/v2/wp-json/index.html	(from https://bslthemes.com/arter-wp/v2/)
11:51:36	864/864	---MC-	200	added ('OK')	text/xml	date:Fri,%2018%20Dec%202020%2004:51:38%20GMT	https://bslthemes.com/arter-wp/v2/xmlrpc.php?rsd	G:/CV/CV_2/bslthemes.com/arter-wp/v2/xmlrpc0db0.php	(from https://bslthemes.com/arter-wp/v2/)
